"sample.name","sample.type","sample.id"
"ULc110","RNA",110
"ULc111","RNA",111
"ULc112","RNA",112
"ULc113","RNA",113
"ULc114","RNA",114
"ULc115","RNA",115
"ULc116","RNA",116
"ULc117","RNA",117
"ULc118","RNA",118
"ULc119","RNA",119
"ULc120","RNA",120
"ULc121","RNA",121
"ULc122","RNA",122
"ULc123","RNA",123
"ULc124","RNA",124
